"","Value1","Value2","Set"
"56",14.6779926762207,31.6227766016838,247
"57",17.7827941003892,26.1015721568254,247
"58",21.5443469003188,46.4158883361278,247
"59",26.1015721568254,38.3118684955729,247
"60",46.4158883361278,56.2341325190349,247
"61",10,56.2341325190349,246
"62",10,38.3118684955729,246
"63",12.1152765862859,21.5443469003188,246
"64",12.1152765862859,26.1015721568254,246
"65",14.6779926762207,31.6227766016838,246
"66",14.6779926762207,38.3118684955729,246
"67",17.7827941003892,21.5443469003188,246
"68",17.7827941003892,26.1015721568254,246
"69",31.6227766016838,46.4158883361278,246
"70",46.4158883361278,56.2341325190349,246
"71",10,56.2341325190349,245
"72",10,38.3118684955729,245
"73",12.1152765862859,21.5443469003188,245
"74",12.1152765862859,26.1015721568254,245
"75",14.6779926762207,21.5443469003188,245
"76",14.6779926762207,31.6227766016838,245
"77",17.7827941003892,26.1015721568254,245
"78",17.7827941003892,46.4158883361278,245
"79",31.6227766016838,38.3118684955729,245
"80",46.4158883361278,56.2341325190349,245
"81",10,56.2341325190349,244
"82",10,38.3118684955729,244
"83",12.1152765862859,21.5443469003188,244
"84",12.1152765862859,26.1015721568254,244
"85",14.6779926762207,17.7827941003892,244
"86",14.6779926762207,31.6227766016838,244
"87",17.7827941003892,46.4158883361278,244
"88",21.5443469003188,31.6227766016838,244
"89",26.1015721568254,38.3118684955729,244
"90",46.4158883361278,56.2341325190349,244
"91",10,56.2341325190349,243
"92",10,38.3118684955729,243
"93",12.1152765862859,21.5443469003188,243
"94",12.1152765862859,26.1015721568254,243
"95",14.6779926762207,17.7827941003892,243
"96",14.6779926762207,31.6227766016838,243
"97",17.7827941003892,46.4158883361278,243
"98",21.5443469003188,26.1015721568254,243
"99",31.6227766016838,46.4158883361278,243
"100",38.3118684955729,56.2341325190349,243
"101",10,56.2341325190349,242
"102",10,38.3118684955729,242
"103",12.1152765862859,21.5443469003188,242
"104",12.1152765862859,26.1015721568254,242
"105",14.6779926762207,17.7827941003892,242
"106",14.6779926762207,31.6227766016838,242
"107",17.7827941003892,26.1015721568254,242
"108",21.5443469003188,56.2341325190349,242
"109",31.6227766016838,46.4158883361278,242
"110",38.3118684955729,46.4158883361278,242
"111",10,56.2341325190349,241
"112",10,38.3118684955729,241
"113",12.1152765862859,21.5443469003188,241
"114",12.1152765862859,26.1015721568254,241
"115",14.6779926762207,17.7827941003892,241
"116",14.6779926762207,21.5443469003188,241
"117",17.7827941003892,46.4158883361278,241
"118",26.1015721568254,56.2341325190349,241
"119",31.6227766016838,38.3118684955729,241
"120",31.6227766016838,46.4158883361278,241
"121",10,56.2341325190349,240
"122",10,38.3118684955729,240
"123",12.1152765862859,17.7827941003892,240
"124",12.1152765862859,31.6227766016838,240
"125",14.6779926762207,26.1015721568254,240
"126",14.6779926762207,31.6227766016838,240
"127",17.7827941003892,21.5443469003188,240
"128",21.5443469003188,46.4158883361278,240
"129",26.1015721568254,38.3118684955729,240
"130",46.4158883361278,56.2341325190349,240
"131",10,56.2341325190349,239
"132",10,38.3118684955729,239
"133",12.1152765862859,17.7827941003892,239
"134",12.1152765862859,31.6227766016838,239
"135",14.6779926762207,21.5443469003188,239
"136",14.6779926762207,31.6227766016838,239
"137",17.7827941003892,38.3118684955729,239
"138",21.5443469003188,26.1015721568254,239
"139",26.1015721568254,46.4158883361278,239
"140",46.4158883361278,56.2341325190349,239
"141",10,56.2341325190349,238
"142",10,38.3118684955729,238
"143",12.1152765862859,17.7827941003892,238
"144",12.1152765862859,31.6227766016838,238
"145",14.6779926762207,21.5443469003188,238
"146",14.6779926762207,31.6227766016838,238
"147",17.7827941003892,21.5443469003188,238
"148",26.1015721568254,46.4158883361278,238
"149",26.1015721568254,56.2341325190349,238
"150",38.3118684955729,46.4158883361278,238
"151",10,56.2341325190349,237
"152",10,38.3118684955729,237
"153",12.1152765862859,17.7827941003892,237
"154",12.1152765862859,31.6227766016838,237
"155",14.6779926762207,21.5443469003188,237
"156",14.6779926762207,26.1015721568254,237
"157",17.7827941003892,38.3118684955729,237
"158",21.5443469003188,46.4158883361278,237
"159",26.1015721568254,31.6227766016838,237
"160",46.4158883361278,56.2341325190349,237
"161",10,56.2341325190349,236
"162",10,38.3118684955729,236
"163",12.1152765862859,17.7827941003892,236
"164",12.1152765862859,31.6227766016838,236
"165",14.6779926762207,17.7827941003892,236
"166",14.6779926762207,31.6227766016838,236
"167",21.5443469003188,26.1015721568254,236
"168",21.5443469003188,46.4158883361278,236
"169",26.1015721568254,46.4158883361278,236
"170",38.3118684955729,56.2341325190349,236
"171",10,56.2341325190349,235
"172",10,38.3118684955729,235
"173",12.1152765862859,17.7827941003892,235
"174",12.1152765862859,31.6227766016838,235
"175",14.6779926762207,17.7827941003892,235
"176",14.6779926762207,26.1015721568254,235
"177",21.5443469003188,31.6227766016838,235
"178",21.5443469003188,46.4158883361278,235
"179",26.1015721568254,56.2341325190349,235
"180",38.3118684955729,46.4158883361278,235
"181",10,56.2341325190349,234
"182",10,38.3118684955729,234
"183",12.1152765862859,17.7827941003892,234
"184",12.1152765862859,31.6227766016838,234
"185",14.6779926762207,17.7827941003892,234
"186",14.6779926762207,21.5443469003188,234
"187",21.5443469003188,46.4158883361278,234
"188",26.1015721568254,46.4158883361278,234
"189",26.1015721568254,56.2341325190349,234
"190",31.6227766016838,38.3118684955729,234
"191",10,56.2341325190349,233
"192",10,38.3118684955729,233
"193",12.1152765862859,17.7827941003892,233
"194",12.1152765862859,26.1015721568254,233
"195",14.6779926762207,31.6227766016838,233
"196",14.6779926762207,38.3118684955729,233
"197",17.7827941003892,21.5443469003188,233
"198",21.5443469003188,31.6227766016838,233
"199",26.1015721568254,46.4158883361278,233
"200",46.4158883361278,56.2341325190349,233
"201",10,56.2341325190349,232
"202",10,38.3118684955729,232
"203",12.1152765862859,17.7827941003892,232
"204",12.1152765862859,26.1015721568254,232
"205",14.6779926762207,26.1015721568254,232
"206",14.6779926762207,31.6227766016838,232
"207",17.7827941003892,21.5443469003188,232
"208",21.5443469003188,56.2341325190349,232
"209",31.6227766016838,46.4158883361278,232
"210",38.3118684955729,46.4158883361278,232
"211",10,56.2341325190349,231
"212",10,38.3118684955729,231
"213",12.1152765862859,17.7827941003892,231
"214",12.1152765862859,26.1015721568254,231
"215",14.6779926762207,21.5443469003188,231
"216",14.6779926762207,38.3118684955729,231
"217",17.7827941003892,31.6227766016838,231
"218",21.5443469003188,46.4158883361278,231
"219",26.1015721568254,31.6227766016838,231
"220",46.4158883361278,56.2341325190349,231
"221",10,56.2341325190349,230
"222",10,38.3118684955729,230
"223",12.1152765862859,17.7827941003892,230
"224",12.1152765862859,26.1015721568254,230
"225",14.6779926762207,21.5443469003188,230
"226",14.6779926762207,31.6227766016838,230
"227",17.7827941003892,46.4158883361278,230
"228",21.5443469003188,38.3118684955729,230
"229",26.1015721568254,31.6227766016838,230
"230",46.4158883361278,56.2341325190349,230
"231",10,56.2341325190349,229
"232",10,38.3118684955729,229
"233",12.1152765862859,17.7827941003892,229
"234",12.1152765862859,26.1015721568254,229
"235",14.6779926762207,21.5443469003188,229
"236",14.6779926762207,31.6227766016838,229
"237",17.7827941003892,46.4158883361278,229
"238",21.5443469003188,26.1015721568254,229
"239",31.6227766016838,56.2341325190349,229
"240",38.3118684955729,46.4158883361278,229
"241",10,56.2341325190349,228
"242",10,38.3118684955729,228
"243",12.1152765862859,17.7827941003892,228
"244",12.1152765862859,26.1015721568254,228
"245",14.6779926762207,17.7827941003892,228
"246",14.6779926762207,38.3118684955729,228
"247",21.5443469003188,26.1015721568254,228
"248",21.5443469003188,46.4158883361278,228
"249",31.6227766016838,46.4158883361278,228
"250",31.6227766016838,56.2341325190349,228
"251",10,56.2341325190349,227
"252",10,38.3118684955729,227
"253",12.1152765862859,17.7827941003892,227
"254",12.1152765862859,26.1015721568254,227
"255",14.6779926762207,17.7827941003892,227
"256",14.6779926762207,31.6227766016838,227
"257",21.5443469003188,31.6227766016838,227
"258",21.5443469003188,56.2341325190349,227
"259",26.1015721568254,46.4158883361278,227
"260",38.3118684955729,46.4158883361278,227
"261",10,56.2341325190349,226
"262",10,38.3118684955729,226
"263",12.1152765862859,17.7827941003892,226
"264",12.1152765862859,26.1015721568254,226
"265",14.6779926762207,17.7827941003892,226
"266",14.6779926762207,26.1015721568254,226
"267",21.5443469003188,46.4158883361278,226
"268",21.5443469003188,56.2341325190349,226
"269",31.6227766016838,38.3118684955729,226
"270",31.6227766016838,46.4158883361278,226
"271",10,56.2341325190349,225
"272",10,38.3118684955729,225
"273",12.1152765862859,17.7827941003892,225
"274",12.1152765862859,21.5443469003188,225
"275",14.6779926762207,31.6227766016838,225
"276",14.6779926762207,38.3118684955729,225
"277",17.7827941003892,26.1015721568254,225
"278",21.5443469003188,46.4158883361278,225
